occupation,TotalEmployed,Women,Men,White,BlackAfricanAmerican,Asian,HispanicLatino,color_code,source,us_labor_occupation_names,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,UsedOccupations
street vendor,73,0.5429999999999999,0.4570000000000001,0.7140000000000001,0.154,0.027000000000000003,0.243,Overlap,94,"Door-to-door sales workers, news and street vendors, and related workers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Door-to-door sales workers, news and street vendors, and related workers"
rancher,876,0.27399999999999997,0.726,0.9620000000000001,0.013999999999999999,0.008,0.064,Overlap,94,"Farmers, ranchers, and other agricultural managers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Farmers, ranchers, and other agricultural managers"
counselor,991,0.7626034308779011,0.2373965691220989,0.7423501513622603,0.187686175580222,0.03320181634712412,0.13935923309788092,Good,70,"Substance abuse and behavioral disorder counselors; Educational, guidance, and career counselors and advisors; Mental health counselors; Rehabilitation counselors; Counselors, all other",54.0,mental health counselor,94.0,"educational, guidance, and career counselor",94.0,substance abuse counselor,94,genetic counselor,94.0,guidance counselor,94.0,behavioral disorder counselor,21.0,career counselor,94.0,counseling psychologist,94.0,industrial-organizational psychologist,94.0,mediator,94.0,conciliator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Substance abuse and behavioral disorder counselors; Educational, guidance, and career counselors and advisors; Mental health counselors; Counselors, all other"
pr person,140,0.762,0.238,0.805,0.11199999999999999,0.034,0.078,Good,71,Public relations specialists,54.0,public relations specialist,94.0,publicist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public relations specialists
customer service representative,2822,0.653,0.347,0.72,0.182,0.053,0.198,Good,54,Customer service representatives,33.0,customer support specialist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Customer service representatives
dishwasher,268,0.231,0.769,0.731,0.145,0.04,0.379,Good,54,Dishwashers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers
metal worker,546,0.20150732600732602,0.798492673992674,0.76946336996337,0.13402014652014652,0.06454945054945055,0.20994139194139194,Good,54,Structural iron and steel workers; Reinforcing iron and rebar workers; Sheet metal workers; Structural metal fabricators and fitters; Other metal workers and plastic workers; Jewelers and precious stone and metal workers,54.0,sheet metal worker,94.0,structural metal fabricator,94.0,reinforcing iron and rebar worker,94,structural iron and steel worker,94.0,structural metal fitter,94.0,metal-refining furnace tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheet metal workers; Other metal workers and plastic workers; Jewelers and precious stone and metal workers
solderer,559,0.057999999999999996,0.942,0.826,0.111,0.023,0.264,Good,94,"Welding, soldering, and brazing workers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Welding, soldering, and brazing workers"
sorter,793,0.39,0.61,0.745,0.135,0.069,0.17800000000000002,Good,94,"Inspectors, testers, sorters, samplers, and weighers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Inspectors, testers, sorters, samplers, and weighers"
florist,63,0.8909999999999999,0.1090000000000001,0.946,0.027000000000000003,0.011000000000000001,0.276,Good,94,Floral designers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Floral designers
